datetime,open,high,low,close,vwap,cum_volume,cum_ticks,cum_dollar_value
2018-10-18 15:51:43.724100096,216.39,216.63,215.87,215.88,216.222512336248,493278.0,5000.0,106657808.44019975
2018-10-18 15:58:17.740723200,215.88,216.69,215.87,216.146,216.33822375435446,440976.0,5000.0,95399964.55830021
2018-10-18 16:04:19.538825728,216.15,216.5327,216.01,216.41,216.24324005731893,419404.0,5000.0,90693279.85299979
2018-10-18 16:10:01.700914432,216.41,216.9,216.2,216.7243,216.62121862573127,420209.0,5000.0,91026185.65749991
2018-10-18 16:17:19.718269184,216.75,217.15,216.51,216.7936,216.78212686921609,389468.0,5000.0,84429701.38749985
2018-10-18 16:25:48.921715200,216.7701,217.56,216.53,217.43,217.4394119592377,1716882.0,5000.0,373317812.4833999
2018-10-18 16:36:45.595176960,217.44,217.74,217.05,217.69,217.40815411172218,462519.0,5000.0,100555402.03159963
2018-10-18 16:44:15.336250624,217.68,218.08,217.4106,217.54,217.78831367555696,441174.0,5000.0,96082541.49750017
2018-10-18 16:57:00.254870016,217.54,217.8131,217.12,217.29,217.4157885524239,403806.0,5000.0,87793799.91220008
2018-10-18 17:06:27.593534464,217.3,217.48,216.65,216.791,217.09300401582598,429924.0,5000.0,93333492.65849997
2018-10-18 17:13:53.914492928,216.8,216.97,216.0,216.02,216.48793259899105,472668.0,5000.0,102326918.12569991
2018-10-18 17:19:39.500283392,216.03,216.43,215.69,215.7899,216.06741622535696,456520.0,5000.0,98639096.85519996
2018-10-18 17:24:43.682958592,215.775,216.06,215.15,215.15,215.58286954441687,514615.0,5000.0,110942178.41060008
2018-10-18 17:27:15.494239232,215.15,215.28,214.85,215.22,215.0646318057208,464341.0,5000.0,99863326.19730021
2018-10-18 17:33:41.376769024,215.22,215.9,215.16,215.16,215.57622598350017,435638.0,5000.0,93913195.93500005
2018-10-18 17:41:12.612753920,215.16,215.94,215.11,215.11,215.51431615038632,473580.0,5000.0,102063269.84249996
2018-10-18 17:46:10.923977472,215.11,215.88,214.92,215.67,215.15576396621609,466021.0,5000.0,100267104.27929999
2018-10-18 17:54:22.260839936,215.67,215.92,215.231,215.5888,215.6020699808723,404129.0,5000.0,87131048.93929994
2018-10-18 18:01:28.900484096,215.5888,216.23,215.25,216.21,215.63301802486458,383842.0,5000.0,82769008.90470007
2018-10-18 18:08:48.869039360,216.229,216.76,215.6871,216.6576,216.27111209924624,482435.0,5000.0,104336753.96559986
2018-10-18 18:18:39.169985280,216.65,216.66,215.59,215.9318,216.06180180084866,445512.0,5000.0,96258125.44389969
2018-10-18 18:27:03.503936000,215.922,216.77,215.586,216.39,216.28292538036297,484406.0,5000.0,104768746.7518001
2018-10-18 18:37:08.799854848,216.39,216.54,215.95,216.4,216.26187359277034,439054.0,5000.0,94950640.64840019
2018-10-18 18:44:44.360800512,216.4,217.06,216.16,216.94,216.57608739771234,402911.0,5000.0,87260887.94949968
2018-10-18 18:55:45.202199552,216.9499,217.15,216.52,216.55,216.82813383364055,495495.0,5000.0,107437256.17389973
2018-10-18 19:04:21.060302848,216.55,216.743,215.95,216.0806,216.28559435425208,456308.0,5000.0,98692846.98860006
2018-10-18 19:14:14.739304192,216.09,216.2,215.541,215.7665,215.78787948793038,478138.0,5000.0,103176385.12260006
2018-10-18 19:21:52.536848640,215.75,216.48,215.65,215.9781,216.10450332878776,424599.0,5000.0,91757756.00889996
2018-10-18 19:29:10.355440896,215.9827,216.49,215.82,216.297,216.15771155646524,386883.0,5000.0,83627743.92009994
2018-10-18 19:34:47.424621056,216.3,216.379,215.5,215.5,215.85779403121364,413920.0,5000.0,89347858.10539995
2018-10-18 19:40:11.522320640,215.5,216.21,215.31,216.13,215.72881422120614,412792.0,5000.0,89051128.68000013
2018-10-18 19:45:02.203566080,216.13,216.46,215.87,216.05,216.13352488883586,420775.0,5000.0,90943583.93509991
2018-10-18 19:50:00.022097920,216.0645,216.36,215.89,216.11,216.15472199528,434325.0,5000.0,93881399.63059999
2018-10-18 19:53:35.085224704,216.1,216.26,215.8,216.05,216.01344447291493,424998.0,5000.0,91805281.8740999
2018-10-18 19:56:54.454504960,216.06,216.17,213.0,216.04,215.9803697298577,435178.0,5000.0,93989905.33830002
2018-10-18 19:59:39.733214976,216.04,216.15,215.8,215.9,215.9407236084168,506222.0,5000.0,109313944.98649997
2018-10-19 11:31:20.976559872,217.18,218.71,217.18,218.5,217.99785065277752,87166.0,681.0,19002000.650000006
2018-10-19 13:30:23.168658944,218.5,219.31,217.51,217.96,218.10759115099125,4178841.0,5000.0,911436944.3129995
2018-10-19 13:32:41.269884416,217.95,218.71,217.83,218.71,218.3062268528766,487836.0,5000.0,106497636.4829999
2018-10-19 13:34:33.317471744,218.71,219.52,218.04,219.07,219.12061582298517,490489.0,5000.0,107476251.73440017
2018-10-19 13:37:37.623191040,219.0831,219.28,218.04,219.07,218.9781308765105,515978.0,5000.0,112987898.01340014
2018-10-19 13:41:32.909431808,219.07,219.52,218.86,219.24,219.2423916605822,467047.0,5000.0,102396501.29789993
2018-10-19 13:45:36.469703680,219.22,219.49,218.97,219.3399,219.29197814089488,452960.0,5000.0,99330494.41869974
2018-10-19 13:49:44.131936256,219.325,219.4,218.55,219.08,219.06769055157383,419001.0,5000.0,91789581.40879999
2018-10-19 13:53:42.343794944,219.08,219.6,218.95,219.55,219.3941993686154,449330.0,5000.0,98580395.60229996
2018-10-19 13:57:54.036730880,219.55,220.0,219.55,219.87,219.79066388431005,516241.0,5000.0,113464952.1143001
2018-10-19 14:02:38.160644352,219.8353,220.2,219.5627,220.16,219.9139117221616,578366.0,5000.0,127190729.46709971
2018-10-19 14:06:14.804220928,220.16,220.79,220.06,220.78,220.5307935710953,473891.0,5000.0,104507558.29619992
2018-10-19 14:11:54.557891072,220.78,220.83,219.56,220.25,220.60798597583693,529422.0,5000.0,116794721.15129954
2018-10-19 14:17:59.682583296,220.2501,220.52,219.93,220.01,220.21748542756973,567709.0,5000.0,125019448.43460019
2018-10-19 14:24:22.987566336,220.0092,220.5,219.81,220.24,220.16090955361386,456309.0,5000.0,100461404.47749999
2018-10-19 14:31:46.810887680,220.24,220.65,220.11,220.45,220.3048234523139,445649.0,5000.0,98178624.26670024
2018-10-19 14:36:02.287606016,220.46,221.13,220.2989,221.1,220.868844906461,478891.0,5000.0,105772102.00610001
2018-10-19 14:42:45.124627712,221.101,221.12,220.57,220.5901,220.8439740026997,516319.0,5000.0,114025939.8130999
2018-10-19 14:51:09.994947840,220.61,221.04,220.55,220.73,220.7985094803837,464285.0,5000.0,102513435.97409995
2018-10-19 14:58:07.014495232,220.73,220.81,220.4,220.73,220.60676397806535,647164.0,5000.0,142768755.80310068
2018-10-19 15:04:52.820250880,220.74,221.26,220.62,220.78,220.9880326507393,485989.0,5000.0,107397752.99990015
2018-10-19 15:14:22.222188032,220.79,221.13,220.61,220.9,220.94294551771253,515663.0,5000.0,113932102.1145002
2018-10-19 15:22:15.273402880,220.9,221.01,219.96,219.96,220.50412482528898,393506.0,5000.0,86769696.14350016
2018-10-19 15:30:59.843247616,219.96,220.2105,219.86,220.1,220.02577081430303,493735.0,5000.0,108634423.9529999
2018-10-19 15:39:04.818509824,220.1,220.6136,219.26,219.6,219.61663375008283,498541.0,5000.0,109487896.20640004
2018-10-19 15:48:59.561133056,219.6,219.99,219.54,219.76,219.7949840393093,463896.0,5000.0,101962013.91589943
2018-10-19 15:55:37.462098944,219.73,220.13,219.01,219.08,219.5932931985396,489042.0,5000.0,107390343.29240021
2018-10-19 16:03:35.965960448,219.0875,219.9,218.9,219.72,219.34705984826965,842016.0,5000.0,184693733.94520062
2018-10-19 16:14:54.035417088,219.7,219.8899,219.01,219.16,219.47854256673602,481296.0,5000.0,105634144.62319978
2018-10-19 16:21:51.236125184,219.16,219.25,218.51,218.53,218.86992469972412,539087.0,5000.0,117989931.09660017
