datetime,open,high,low,close,vwap,cum_volume,cum_ticks,cum_dollar_value,cum_buy_ticks,cum_sell_ticks,cum_buy_volume,cum_sell_volume,cum_buy_dollar_value,cum_sell_dollar_value
2018-01-03 14:31:53.112136960,268.96,269.12,268.96,269.04,269.0588176787536,530982.0,1624.0,142865389.12869996,267.0,265.0,106089.0,91424.0,28542158.735899996,24598996.75280001
2018-01-03 14:38:10.203659008,269.04,269.22,268.96,269.22,269.086917148695,961216.0,3599.0,258650650.15400004,506.0,480.0,134365.0,151097.0,36155768.81910001,40658077.410900004
2018-01-03 14:40:41.637744896,269.22,269.45,269.17,269.44,269.2684836734398,961415.0,2604.0,258878759.23090014,445.0,424.0,177409.0,242099.0,47770179.428299986,65185398.757600024
2018-01-03 14:46:21.600335872,269.43,269.43,269.28,269.32,269.3335991211801,963565.0,3268.0,259520429.4371999,512.0,515.0,138791.0,196003.0,37381480.25050001,52788927.75800001
2018-01-03 14:50:53.302964992,269.32,269.48,269.31,269.39,269.4025761282001,961620.0,3338.0,259062905.25639978,376.0,383.0,118791.0,141363.0,32003806.871900003,38083699.7195
2018-01-03 14:56:50.579386880,269.39,269.55,269.35,269.52,269.4649627898607,961238.0,3665.0,259019961.90220013,435.0,440.0,139843.0,112237.0,37685118.98289999,30244205.87200001
2018-01-03 15:00:59.670130944,269.52,269.64,269.49,269.64,269.5591852353134,961314.0,2314.0,259131018.59530008,355.0,370.0,305522.0,113756.0,82352789.25240003,30662941.70589999
2018-01-03 15:03:50.137181952,269.63,269.83,269.62,269.79,269.700467580007,961635.0,3197.0,259353409.14130002,304.0,283.0,83839.0,90676.0,22612023.066900004,24454804.869399995
2018-01-03 15:07:26.588028928,269.789,269.83,269.7,269.72,269.75309760318254,961233.0,3068.0,259295579.26839995,225.0,236.0,93336.0,97368.0,25178996.920999993,26265356.967400003
2018-01-03 15:12:53.193072128,269.72,269.82,269.67,269.69,269.7310637034239,961143.0,3410.0,259250123.76109993,314.0,313.0,116633.0,74136.0,31459957.9428,19996524.055800002
2018-01-03 15:20:38.755843072,269.69,269.76,269.63,269.74,269.6902783044164,961380.0,3439.0,259274839.75629982,361.0,366.0,93531.0,200004.0,25224553.638300005,53938718.162
2018-01-03 15:27:40.822729984,269.74,269.9,269.72,269.9,269.78358115433275,961144.0,3234.0,259300870.325,437.0,417.0,133160.0,222020.0,35926301.631100014,59895745.77389997
2018-01-03 15:31:37.803273984,269.9,269.97,269.8699,269.97,269.9047291113042,961994.0,3456.0,259646729.9767,273.0,275.0,74493.0,68791.0,20106844.800400008,18567196.2613
2018-01-03 15:37:22.165424896,269.97,270.0,269.89,270.0,269.95773558697294,961467.0,3761.0,259555454.16160014,423.0,441.0,100093.0,152558.0,27021506.750000004,41184240.4866
2018-01-03 15:47:00.172135936,270.01,270.07,269.87,269.89,269.9948981970127,961238.0,4400.0,259529355.9531001,499.0,515.0,118558.0,120406.0,32010586.420200005,32508245.555399995
2018-01-03 15:54:35.407217920,269.89,269.95,269.81,269.83,269.8625214250799,961490.0,4044.0,259470115.72500005,336.0,347.0,88797.0,78793.0,23964615.373800006,21264728.866299994
2018-01-03 16:05:29.022593024,269.83,269.87,269.73,269.83,269.80083666684004,961640.0,4086.0,259451276.57230005,394.0,396.0,82955.0,86863.0,22381388.474499997,23434956.864800006
2018-01-03 16:18:55.516238080,269.83,269.94,269.81,269.93,269.86826069581457,961147.0,3927.0,259383069.16300008,461.0,476.0,116803.0,139626.0,31521287.959200002,37680279.85579999
2018-01-03 16:29:26.813565952,269.93,269.975,269.8699,269.96,269.9321281081727,961240.0,3829.0,259469558.82269996,329.0,336.0,68231.0,95641.0,18418062.6648,25815934.42389999
2018-01-03 16:41:50.699170048,269.96,270.0,269.83,269.85,269.9284060498744,961177.0,3873.0,259448975.5418001,395.0,436.0,104437.0,101798.0,28190907.471299995,27477995.96339999
2018-01-03 16:50:28.727076096,269.85,270.0,269.82,270.0,269.89951663180267,961832.0,3551.0,259597991.88100004,358.0,341.0,103414.0,66838.0,27912009.2296,18039470.903999995
2018-01-03 17:03:40.704232960,270.0,270.0,269.85,269.91,269.91010499933424,961308.0,4054.0,259466743.21670002,467.0,497.0,124243.0,120516.0,33534310.0372,32527373.78449999
2018-01-03 17:14:59.495691008,269.915,270.02,269.9,269.995,269.9617189869336,961240.0,3804.0,259498002.75900003,393.0,382.0,78176.0,123532.0,21104677.322699998,33349021.61129999
2018-01-03 17:29:18.417865984,269.995,270.05,269.96,270.03,270.00747577056234,962057.0,4291.0,259762582.1173999,447.0,423.0,135557.0,99216.0,36601344.83110001,26788581.488199994
2018-01-03 17:41:31.885147904,270.03,270.15,270.0,270.145,270.0849257742461,961161.0,3751.0,259595097.3421001,442.0,428.0,118977.0,141481.0,32135079.07220001,38213298.92009997
2018-01-03 17:51:11.724591104,270.14,270.38,270.14,270.37,270.24303996277445,961172.0,4155.0,259750043.20709983,378.0,349.0,89941.0,92749.0,24305708.437499993,25063366.913500004
2018-01-03 17:59:29.564770048,270.37,270.46,270.27,270.315,270.3685248741105,968111.0,4023.0,261746742.9844,333.0,360.0,96741.0,138832.0,26155314.6275,37534360.3269
2018-01-03 18:08:30.034458112,270.3175,270.341,270.29,270.32,270.3183998003005,961946.0,3259.0,260031703.41429985,354.0,368.0,112917.0,142512.0,30524158.745500002,38523332.38349999
2018-01-03 18:15:38.828212992,270.32,270.36,270.3,270.3101,270.3200182630208,962015.0,3366.0,260051912.36929995,325.0,335.0,76813.0,145555.0,20764446.377699997,39346327.4016
2018-01-03 18:31:21.782072064,270.32,270.35,270.201,270.21,270.31279551244694,961348.0,3665.0,259864665.34029981,405.0,415.0,102504.0,116918.0,27707883.883400004,31604524.237700008
2018-01-03 18:42:47.349468928,270.2,270.24,270.0,270.04,270.13633665323545,961203.0,4101.0,259655857.2000999,367.0,395.0,90242.0,95778.0,24376691.696700003,25872947.9985
2018-01-03 18:55:35.534870016,270.04,270.095,270.01,270.04,270.05501977755614,961231.0,3910.0,259585256.71580008,359.0,372.0,88400.0,84239.0,23873379.168899998,22749236.435599998
2018-01-03 19:03:12.017583104,270.04,270.08,269.97,270.03,270.0266601662483,961333.0,3498.0,259585539.29759994,338.0,350.0,120086.0,100335.0,32426975.510699995,27092788.6256
2018-01-03 19:10:00.065377024,270.03,270.12,269.99,270.12,270.04444823203465,961529.0,2937.0,259655568.26410004,321.0,313.0,112110.0,103875.0,30274729.7374,28050487.431100003
2018-01-03 19:20:14.658336000,270.12,270.19,270.07,270.17,270.1464146945311,961834.0,3754.0,259836006.63129961,379.0,388.0,129332.0,98010.0,34938076.20180002,26476363.11069999
2018-01-03 19:26:03.949863936,270.17,270.23,270.16,270.23,270.19771437652815,961310.0,3273.0,259743764.8073003,277.0,276.0,90044.0,68655.0,24329513.513,18550082.5693
2018-01-03 19:36:12.002452992,270.22,270.36,270.1401,270.35,270.218414004603,961541.0,3561.0,259826084.0204,394.0,385.0,104232.0,92368.0,28166350.50599999,24958708.5044
2018-01-03 19:45:48.387232000,270.35,270.355,270.21,270.25,270.28848382407847,961225.0,3952.0,259808047.86379984,420.0,427.0,120774.0,117689.0,32644415.660699997,31809360.8541
2018-01-03 19:55:45.887745024,270.25,270.311,270.19,270.23,270.2463819847379,961729.0,3723.0,259903782.6998,352.0,373.0,108352.0,88305.0,29283083.5633,23864383.421299998
2018-01-03 20:05:40.149677056,270.23,270.29,270.2,270.26,270.2520579790421,961168.0,4235.0,259757630.0635999,404.0,402.0,75517.0,98596.0,20408966.591799993,26645259.786800005
2018-01-03 20:18:25.014817024,270.26,270.345,270.24,270.33,270.299852156283,961307.0,3568.0,259841139.97679994,352.0,362.0,115477.0,100381.0,31213483.000399996,27132630.131399985
2018-01-03 20:28:12.081827072,270.335,270.36,270.3,270.34,270.34102756411454,961326.0,4199.0,259885858.6641,347.0,340.0,86183.0,63351.0,23299133.895600002,17126118.718199994
2018-01-03 20:35:20.901664000,270.34,270.48,270.33,270.449,270.3926742973008,961222.0,3635.0,259907387.17340004,353.0,331.0,85115.0,102489.0,23014691.153599992,27710539.269800004
2018-01-03 20:40:10.644578048,270.449,270.54,270.44,270.53,270.49955474407903,961156.0,3226.0,259992270.03960004,354.0,342.0,132018.0,107326.0,35711921.03359999,29031429.689799998
2018-01-03 20:44:31.798543872,270.52,270.53,270.45,270.52,270.4955871029227,961148.0,2876.0,259986292.5527999,283.0,280.0,124622.0,148374.0,33709413.9782,40134549.953300014
2018-01-03 20:46:50.196937984,270.52,270.64,270.49,270.63,270.5549934906722,962127.0,2452.0,260308264.22219995,230.0,216.0,110046.0,73057.0,29773125.410199996,19766264.422000002
2018-01-03 20:49:19.818844928,270.63,270.64,270.48,270.49,270.5920588826547,964751.0,3047.0,261053959.3991,296.0,290.0,128055.0,94099.0,34648289.557,25460322.18870001
